2016-09-23 00:42:03,944 : INFO : Machine : Mission Pinball Framework Core Engine v0.31.3
2016-09-23 00:42:03,949 : INFO : Machine : Machine path: /home/sysop/robotech
2016-09-23 00:42:05,484 : INFO : Machine : Loading cached config: /tmp/b22896e0955c8faa276a6ac3f6f5f4b5config
2016-09-23 00:42:05,604 : INFO : FAST : Connecting to /dev/ttyUSB1 at 921600bps
2016-09-23 00:42:05,617 : INFO : FAST : Connected! Processor: NET, Board Type: FP-CPU-002-2, Firmware: 01.00
2016-09-23 00:42:05,637 : INFO : FAST : Connecting to /dev/ttyUSB2 at 921600bps
2016-09-23 00:42:05,648 : INFO : FAST : Connected! Processor: RGB, Board Type: FP-CPU-002-2, Firmware: 01.00
2016-09-23 00:42:05,914 : INFO : kivy : [Logger      ] Record log in /home/sysop/.kivy/logs/kivy_16-09-23_2.txt
2016-09-23 00:42:05,913 : INFO : kivy : [Image       ] Providers: img_tex, img_dds, img_gif, img_sdl2 (img_pil, img_ffpyplayer ignored)
2016-09-23 00:42:06,018 : INFO : kivy : [Kivy        ] v1.9.2-dev0
2016-09-23 00:42:06,027 : INFO : kivy : [Python      ] v3.4.2 (default, Oct 19 2014, 13:31:11) 
[GCC 4.9.1]
2016-09-23 00:42:06,064 : INFO : kivy : [Factory     ] 193 symbols loaded
2016-09-23 00:42:07,080 : WARNING : SwitchController : Received a status update from hardware switch ('2F', 1), but that switch is not in your config. Just FYI.
2016-09-23 00:42:07,086 : WARNING : SwitchController : Received a status update from hardware switch ('0F', 1), but that switch is not in your config. Just FYI.
2016-09-23 00:42:07,091 : WARNING : SwitchController : Received a status update from hardware switch ('1F', 1), but that switch is not in your config. Just FYI.
2016-09-23 00:42:07,096 : WARNING : SwitchController : Received a status update from hardware switch ('27', 1), but that switch is not in your config. Just FYI.
2016-09-23 00:42:07,102 : WARNING : SwitchController : Received a status update from hardware switch ('37', 1), but that switch is not in your config. Just FYI.
2016-09-23 00:42:07,106 : WARNING : SwitchController : Received a status update from hardware switch ('17', 1), but that switch is not in your config. Just FYI.
2016-09-23 00:42:07,360 : INFO : BCPClientSocket.local_display : Connecting to BCP Media Controller at localhost:5050...
2016-09-23 00:42:11,130 : INFO : SwitchController : Active Switch|s_trough1
2016-09-23 00:42:11,134 : INFO : SwitchController : Active Switch|s_trough2
2016-09-23 00:42:11,139 : INFO : SwitchController : Active Switch|s_drain_kicker
2016-09-23 00:42:11,143 : INFO : SwitchController : Active Switch|s_right_top2_rubber
2016-09-23 00:42:11,149 : INFO : Mode.attract : Mode Starting. Priority: 10
2016-09-23 00:42:11,305 : INFO : SwitchController : <<<<< switch: s_trough1, State:0 >>>>>
2016-09-23 00:42:11,497 : INFO : SwitchController : <<<<< switch: s_plunger_lane, State:1 >>>>>
2016-09-23 00:42:11,504 : INFO : SwitchController : <<<<< switch: s_trough2, State:0 >>>>>
2016-09-23 00:42:11,614 : INFO : SwitchController : <<<<< switch: s_trough1, State:1 >>>>>
2016-09-23 00:42:11,705 : INFO : SwitchController : <<<<< switch: s_trough1, State:0 >>>>>
2016-09-23 00:42:11,880 : INFO : SwitchController : <<<<< switch: s_trough1, State:1 >>>>>
2016-09-23 00:42:12,246 : INFO : SwitchController : <<<<< switch: s_drain_kicker, State:0 >>>>>
2016-09-23 00:42:12,277 : WARNING : BallController : BallController denies game start. Not enough balls
2016-09-23 00:42:12,305 : INFO : SwitchController : <<<<< switch: s_trough1, State:0 >>>>>
2016-09-23 00:42:12,358 : INFO : SwitchController : <<<<< switch: s_trough3, State:1 >>>>>
2016-09-23 00:42:12,363 : INFO : SwitchController : <<<<< switch: s_trough1, State:1 >>>>>
2016-09-23 00:42:12,368 : INFO : SwitchController : <<<<< switch: s_trough3, State:0 >>>>>
2016-09-23 00:42:12,406 : INFO : SwitchController : <<<<< switch: s_trough3, State:1 >>>>>
2016-09-23 00:42:12,433 : INFO : SwitchController : <<<<< switch: s_trough3, State:0 >>>>>
2016-09-23 00:42:12,513 : INFO : SwitchController : <<<<< switch: s_trough1, State:0 >>>>>
2016-09-23 00:42:12,660 : INFO : SwitchController : <<<<< switch: s_trough1, State:1 >>>>>
2016-09-23 00:42:12,788 : INFO : SwitchController : <<<<< switch: s_trough3, State:1 >>>>>
2016-09-23 00:42:12,870 : INFO : SwitchController : <<<<< switch: s_trough3, State:0 >>>>>
2016-09-23 00:42:12,903 : INFO : SwitchController : <<<<< switch: s_trough2, State:1 >>>>>
2016-09-23 00:42:17,338 : INFO : SwitchController : <<<<< switch: s_plunger_lane, State:0 >>>>>
2016-09-23 00:42:18,293 : INFO : SwitchController : <<<<< switch: s_drain_kicker, State:1 >>>>>
2016-09-23 00:42:18,455 : INFO : SwitchController : <<<<< switch: s_drain_kicker, State:0 >>>>>
2016-09-23 00:42:18,462 : WARNING : BallController : BallController denies game start. Not enough balls
2016-09-23 00:42:18,531 : INFO : SwitchController : <<<<< switch: s_right_top2_rubber, State:0 >>>>>
2016-09-23 00:42:18,536 : INFO : SwitchController : <<<<< switch: s_trough2, State:0 >>>>>
