2016-09-23 00:50:56,771 : INFO : Machine : Mission Pinball Framework Core Engine v0.31.3
2016-09-23 00:50:56,778 : INFO : Machine : Machine path: /home/sysop/robotech
2016-09-23 00:50:58,264 : INFO : Machine : Loading cached config: /tmp/b22896e0955c8faa276a6ac3f6f5f4b5config
2016-09-23 00:50:58,385 : INFO : FAST : Connecting to /dev/ttyUSB1 at 921600bps
2016-09-23 00:50:58,399 : INFO : FAST : Connected! Processor: NET, Board Type: FP-CPU-002-2, Firmware: 01.00
2016-09-23 00:50:58,419 : INFO : FAST : Connecting to /dev/ttyUSB2 at 921600bps
2016-09-23 00:50:58,431 : INFO : FAST : Connected! Processor: RGB, Board Type: FP-CPU-002-2, Firmware: 01.00
2016-09-23 00:50:58,682 : INFO : kivy : [Logger      ] Record log in /home/sysop/.kivy/logs/kivy_16-09-23_7.txt
2016-09-23 00:50:58,681 : INFO : kivy : [Image       ] Providers: img_tex, img_dds, img_gif, img_sdl2 (img_pil, img_ffpyplayer ignored)
2016-09-23 00:50:58,786 : INFO : kivy : [Kivy        ] v1.9.2-dev0
2016-09-23 00:50:58,797 : INFO : kivy : [Python      ] v3.4.2 (default, Oct 19 2014, 13:31:11) 
[GCC 4.9.1]
2016-09-23 00:50:58,826 : INFO : kivy : [Factory     ] 193 symbols loaded
2016-09-23 00:50:59,767 : WARNING : SwitchController : Received a status update from hardware switch ('37', 1), but that switch is not in your config. Just FYI.
2016-09-23 00:50:59,773 : WARNING : SwitchController : Received a status update from hardware switch ('0F', 1), but that switch is not in your config. Just FYI.
2016-09-23 00:50:59,778 : WARNING : SwitchController : Received a status update from hardware switch ('2F', 1), but that switch is not in your config. Just FYI.
2016-09-23 00:50:59,784 : WARNING : SwitchController : Received a status update from hardware switch ('27', 1), but that switch is not in your config. Just FYI.
2016-09-23 00:50:59,789 : WARNING : SwitchController : Received a status update from hardware switch ('17', 1), but that switch is not in your config. Just FYI.
2016-09-23 00:50:59,795 : WARNING : SwitchController : Received a status update from hardware switch ('1F', 1), but that switch is not in your config. Just FYI.
2016-09-23 00:51:00,016 : INFO : BCPClientSocket.local_display : Connecting to BCP Media Controller at localhost:5050...
2016-09-23 00:51:03,100 : INFO : SwitchController : Active Switch|s_trough2
2016-09-23 00:51:03,105 : INFO : SwitchController : Active Switch|s_trough1
2016-09-23 00:51:03,109 : INFO : SwitchController : Active Switch|s_trough3
2016-09-23 00:51:03,115 : INFO : Mode.attract : Mode Starting. Priority: 10
2016-09-23 00:51:08,073 : INFO : SwitchController : <<<<< switch: s_start, State:1 >>>>>
2016-09-23 00:51:08,231 : INFO : SwitchController : <<<<< switch: s_start, State:0 >>>>>
2016-09-23 00:51:08,262 : INFO : Mode.game : Mode Starting. Priority: 20
2016-09-23 00:51:08,282 : INFO : Mode.game : Player added successfully. Total players: 1
2016-09-23 00:51:08,289 : INFO : Mode.kickback : Mode Starting. Priority: 200
2016-09-23 00:51:08,302 : INFO : Mode.ball_save : Mode Starting. Priority: 8500
2016-09-23 00:51:08,309 : INFO : Mode.base : Mode Starting. Priority: 100
2016-09-23 00:51:08,511 : INFO : SwitchController : <<<<< switch: s_trough2, State:0 >>>>>
2016-09-23 00:51:08,521 : INFO : SwitchController : <<<<< switch: s_trough1, State:0 >>>>>
2016-09-23 00:51:08,528 : INFO : SwitchController : <<<<< switch: s_trough2, State:1 >>>>>
2016-09-23 00:51:08,740 : INFO : SwitchController : <<<<< switch: s_plunger_lane, State:1 >>>>>
2016-09-23 00:51:08,879 : INFO : SwitchController : <<<<< switch: s_trough2, State:0 >>>>>
2016-09-23 00:51:08,923 : INFO : SwitchController : <<<<< switch: s_trough3, State:0 >>>>>
2016-09-23 00:51:08,978 : INFO : SwitchController : <<<<< switch: s_trough2, State:1 >>>>>
2016-09-23 00:51:08,994 : INFO : SwitchController : <<<<< switch: s_trough1, State:1 >>>>>
2016-09-23 00:51:09,324 : INFO : SwitchController : <<<<< switch: s_plunger_lane, State:0 >>>>>
2016-09-23 00:51:09,346 : INFO : SwitchController : <<<<< switch: s_plunger_lane, State:1 >>>>>
2016-09-23 00:51:09,369 : INFO : SwitchController : <<<<< switch: s_plunger_lane, State:0 >>>>>
2016-09-23 00:51:11,973 : INFO : SwitchController : <<<<< switch: s_r_top_lane, State:1 >>>>>
2016-09-23 00:51:12,295 : INFO : SwitchController : <<<<< switch: s_r_top_lane, State:0 >>>>>
2016-09-23 00:51:12,519 : INFO : SwitchController : <<<<< switch: s_top_l_pop_bumper, State:1 >>>>>
2016-09-23 00:51:12,538 : INFO : SwitchController : <<<<< switch: s_top_l_pop_bumper, State:0 >>>>>
2016-09-23 00:51:12,575 : INFO : SwitchController : <<<<< switch: s_left_top_rubber, State:1 >>>>>
2016-09-23 00:51:12,593 : INFO : SwitchController : <<<<< switch: s_left_top_rubber, State:0 >>>>>
2016-09-23 00:51:12,879 : INFO : SwitchController : <<<<< switch: s_right_flipper, State:1 >>>>>
2016-09-23 00:51:12,907 : INFO : SwitchController : <<<<< switch: s_trough2, State:0 >>>>>
2016-09-23 00:51:12,932 : INFO : SwitchController : <<<<< switch: s_trough2, State:1 >>>>>
2016-09-23 00:51:13,022 : INFO : SwitchController : <<<<< switch: s_right_flipper, State:0 >>>>>
2016-09-23 00:51:13,588 : INFO : SwitchController : <<<<< switch: s_bottom_r_pop_bumper, State:1 >>>>>
2016-09-23 00:51:13,608 : INFO : SwitchController : <<<<< switch: s_bottom_r_pop_bumper, State:0 >>>>>
2016-09-23 00:51:13,641 : INFO : SwitchController : <<<<< switch: s_bottom_l_pop_bumper, State:1 >>>>>
2016-09-23 00:51:13,658 : INFO : SwitchController : <<<<< switch: s_bottom_l_pop_bumper, State:0 >>>>>
2016-09-23 00:51:13,855 : INFO : SwitchController : <<<<< switch: s_top_r_pop_bumper, State:1 >>>>>
2016-09-23 00:51:13,873 : INFO : SwitchController : <<<<< switch: s_top_r_pop_bumper, State:0 >>>>>
2016-09-23 00:51:13,935 : INFO : SwitchController : <<<<< switch: s_right_top2_rubber, State:1 >>>>>
2016-09-23 00:51:13,985 : INFO : SwitchController : <<<<< switch: s_right_top2_rubber, State:0 >>>>>
2016-09-23 00:51:14,043 : INFO : SwitchController : <<<<< switch: s_right_top2_rubber, State:1 >>>>>
2016-09-23 00:51:15,527 : INFO : SwitchController : <<<<< switch: s_right_inlane_c, State:1 >>>>>
2016-09-23 00:51:15,632 : INFO : SwitchController : <<<<< switch: s_right_inlane_c, State:0 >>>>>
2016-09-23 00:51:16,416 : INFO : SwitchController : <<<<< switch: s_right_flipper, State:1 >>>>>
2016-09-23 00:51:16,502 : INFO : SwitchController : <<<<< switch: s_right_flipper, State:0 >>>>>
2016-09-23 00:51:16,915 : INFO : SwitchController : <<<<< switch: s_left_lock_kickout, State:1 >>>>>
2016-09-23 00:51:17,479 : INFO : SwitchController : <<<<< switch: s_left_lock_kickout, State:0 >>>>>
