2016-09-25 23:27:28,246 : INFO : Machine : Mission Pinball Framework Core Engine v0.31.3
2016-09-25 23:27:28,250 : INFO : Machine : Machine path: /home/sysop/robotech
2016-09-25 23:27:29,694 : INFO : Machine : Loading cached config: /tmp/b22896e0955c8faa276a6ac3f6f5f4b5config
2016-09-25 23:27:29,803 : INFO : FAST : Connecting to /dev/ttyUSB1 at 921600bps
2016-09-25 23:27:29,814 : INFO : FAST : Connected! Processor: NET, Board Type: FP-CPU-002-2, Firmware: 01.00
2016-09-25 23:27:29,831 : INFO : FAST : Connecting to /dev/ttyUSB2 at 921600bps
2016-09-25 23:27:29,840 : INFO : FAST : Connected! Processor: RGB, Board Type: FP-CPU-002-2, Firmware: 01.00
2016-09-25 23:27:30,170 : WARNING : SwitchController : Received a status update from hardware switch ('0F', 1), but that switch is not in your config. Just FYI.
2016-09-25 23:27:30,173 : WARNING : SwitchController : Received a status update from hardware switch ('17', 1), but that switch is not in your config. Just FYI.
2016-09-25 23:27:30,176 : WARNING : SwitchController : Received a status update from hardware switch ('2F', 1), but that switch is not in your config. Just FYI.
2016-09-25 23:27:30,179 : WARNING : SwitchController : Received a status update from hardware switch ('1F', 1), but that switch is not in your config. Just FYI.
2016-09-25 23:27:30,181 : WARNING : SwitchController : Received a status update from hardware switch ('37', 1), but that switch is not in your config. Just FYI.
2016-09-25 23:27:30,184 : WARNING : SwitchController : Received a status update from hardware switch ('27', 1), but that switch is not in your config. Just FYI.
2016-09-25 23:27:30,862 : INFO : SwitchController : Active Switch|s_plunger_lane
2016-09-25 23:27:30,865 : INFO : SwitchController : Active Switch|s_trough1
2016-09-25 23:27:30,867 : INFO : SwitchController : Active Switch|s_trough2
2016-09-25 23:27:30,870 : INFO : Mode.attract : Mode Starting. Priority: 10
2016-09-25 23:27:36,966 : INFO : SwitchController : <<<<< switch: s_start, State:1 >>>>>
2016-09-25 23:27:37,108 : INFO : SwitchController : <<<<< switch: s_start, State:0 >>>>>
2016-09-25 23:27:37,135 : WARNING : BallController : BallController denies game start. Balls are not in their home positions.
2016-09-25 23:27:38,071 : INFO : SwitchController : <<<<< switch: s_plunger_lane, State:0 >>>>>
2016-09-25 23:27:38,844 : INFO : SwitchController : <<<<< switch: s_drain_kicker, State:1 >>>>>
2016-09-25 23:27:39,121 : INFO : SwitchController : <<<<< switch: s_drain_kicker, State:0 >>>>>
2016-09-25 23:27:39,128 : WARNING : BallController : BallController denies game start. Not enough balls
2016-09-25 23:27:39,198 : INFO : SwitchController : <<<<< switch: s_trough1, State:0 >>>>>
2016-09-25 23:27:39,242 : INFO : SwitchController : <<<<< switch: s_trough1, State:1 >>>>>
2016-09-25 23:27:39,532 : INFO : SwitchController : <<<<< switch: s_trough3, State:1 >>>>>
2016-09-25 23:27:56,466 : INFO : SwitchController : <<<<< switch: s_start, State:1 >>>>>
2016-09-25 23:27:56,650 : INFO : SwitchController : <<<<< switch: s_start, State:0 >>>>>
2016-09-25 23:27:56,658 : INFO : Mode.game : Mode Starting. Priority: 20
2016-09-25 23:27:56,679 : INFO : Mode.game : Player added successfully. Total players: 1
2016-09-25 23:27:56,696 : INFO : Mode.kickback : Mode Starting. Priority: 200
2016-09-25 23:27:56,711 : INFO : Mode.ball_save : Mode Starting. Priority: 8500
2016-09-25 23:27:56,716 : INFO : Mode.base : Mode Starting. Priority: 100
2016-09-25 23:27:56,846 : INFO : SwitchController : <<<<< switch: s_trough2, State:0 >>>>>
2016-09-25 23:27:56,856 : INFO : SwitchController : <<<<< switch: s_trough1, State:0 >>>>>
2016-09-25 23:27:56,861 : INFO : SwitchController : <<<<< switch: s_trough2, State:1 >>>>>
2016-09-25 23:27:57,057 : INFO : SwitchController : <<<<< switch: s_plunger_lane, State:1 >>>>>
2016-09-25 23:27:57,068 : INFO : SwitchController : <<<<< switch: s_trough2, State:0 >>>>>
2016-09-25 23:27:57,153 : INFO : SwitchController : <<<<< switch: s_trough3, State:0 >>>>>
2016-09-25 23:27:57,190 : INFO : SwitchController : <<<<< switch: s_trough1, State:1 >>>>>
2016-09-25 23:27:57,209 : INFO : SwitchController : <<<<< switch: s_trough2, State:1 >>>>>
2016-09-25 23:27:58,079 : INFO : SwitchController : <<<<< switch: s_plunger_lane, State:0 >>>>>
2016-09-25 23:27:58,155 : INFO : SwitchController : <<<<< switch: s_plunger_lane, State:1 >>>>>
2016-09-25 23:27:58,170 : INFO : SwitchController : <<<<< switch: s_plunger_lane, State:0 >>>>>
