2016-09-27 02:13:24,825 : INFO : Machine : Mission Pinball Framework Core Engine v0.31.3
2016-09-27 02:13:24,829 : INFO : Machine : Machine path: /home/sysop/robotech
2016-09-27 02:13:26,284 : INFO : Machine : Loading cached config: /tmp/b22896e0955c8faa276a6ac3f6f5f4b5config
2016-09-27 02:13:26,393 : INFO : FAST : Connecting to /dev/ttyUSB1 at 921600bps
2016-09-27 02:13:26,403 : INFO : FAST : Connected! Processor: NET, Board Type: FP-CPU-002-2, Firmware: 01.00
2016-09-27 02:13:26,420 : INFO : FAST : Connecting to /dev/ttyUSB2 at 921600bps
2016-09-27 02:13:26,426 : INFO : FAST : Connected! Processor: RGB, Board Type: FP-CPU-002-2, Firmware: 01.00
2016-09-27 02:13:26,755 : WARNING : SwitchController : Received a status update from hardware switch ('1F', 1), but that switch is not in your config. Just FYI.
2016-09-27 02:13:26,758 : WARNING : SwitchController : Received a status update from hardware switch ('37', 1), but that switch is not in your config. Just FYI.
2016-09-27 02:13:26,761 : WARNING : SwitchController : Received a status update from hardware switch ('17', 1), but that switch is not in your config. Just FYI.
2016-09-27 02:13:26,764 : WARNING : SwitchController : Received a status update from hardware switch ('2F', 1), but that switch is not in your config. Just FYI.
2016-09-27 02:13:26,767 : WARNING : SwitchController : Received a status update from hardware switch ('0F', 1), but that switch is not in your config. Just FYI.
2016-09-27 02:13:26,770 : WARNING : SwitchController : Received a status update from hardware switch ('27', 1), but that switch is not in your config. Just FYI.
2016-09-27 02:13:27,464 : INFO : SwitchController : Active Switch|s_trough3
2016-09-27 02:13:27,467 : INFO : SwitchController : Active Switch|s_middle_drop_target
2016-09-27 02:13:27,470 : INFO : SwitchController : Active Switch|s_trough2
2016-09-27 02:13:27,473 : INFO : SwitchController : Active Switch|s_trough1
2016-09-27 02:13:27,475 : INFO : SwitchController : Active Switch|s_right_drop_target
2016-09-27 02:13:27,480 : INFO : Mode.attract : Mode Starting. Priority: 10
2016-09-27 02:13:27,508 : WARNING : FAST : Port RGB received more messages than were sent! Resetting!
2016-09-27 02:13:27,832 : INFO : SwitchController : <<<<< switch: s_middle_drop_target, State:0 >>>>>
2016-09-27 02:13:27,838 : INFO : SwitchController : <<<<< switch: s_right_drop_target, State:0 >>>>>
2016-09-27 02:13:43,205 : INFO : SwitchController : <<<<< switch: s_start, State:1 >>>>>
2016-09-27 02:13:43,330 : INFO : SwitchController : <<<<< switch: s_start, State:0 >>>>>
2016-09-27 02:13:43,338 : INFO : Mode.game : Mode Starting. Priority: 20
2016-09-27 02:13:43,358 : INFO : Mode.game : Player added successfully. Total players: 1
2016-09-27 02:13:43,368 : INFO : Mode.kickback : Mode Starting. Priority: 200
2016-09-27 02:13:43,382 : INFO : Mode.ball_save : Mode Starting. Priority: 8500
2016-09-27 02:13:43,387 : INFO : Mode.base : Mode Starting. Priority: 100
2016-09-27 02:13:43,509 : INFO : SwitchController : <<<<< switch: s_trough2, State:0 >>>>>
2016-09-27 02:13:43,519 : INFO : SwitchController : <<<<< switch: s_trough1, State:0 >>>>>
2016-09-27 02:13:43,526 : INFO : SwitchController : <<<<< switch: s_trough2, State:1 >>>>>
2016-09-27 02:13:43,744 : INFO : SwitchController : <<<<< switch: s_trough2, State:0 >>>>>
2016-09-27 02:13:43,758 : INFO : SwitchController : <<<<< switch: s_plunger_lane, State:1 >>>>>
2016-09-27 02:13:43,821 : INFO : SwitchController : <<<<< switch: s_trough3, State:0 >>>>>
2016-09-27 02:13:43,871 : INFO : SwitchController : <<<<< switch: s_trough1, State:1 >>>>>
2016-09-27 02:13:43,877 : INFO : SwitchController : <<<<< switch: s_trough2, State:1 >>>>>
2016-09-27 02:13:43,933 : INFO : SwitchController : Received duplicate switch state, which means this switch had some non-debounced state changes. This could be nothing, but if it happens a lot it could indicate noise or interference on the line. Switch: s_left_drop_target
2016-09-27 02:13:44,429 : INFO : SwitchController : <<<<< switch: s_plunger_lane, State:0 >>>>>
2016-09-27 02:13:44,456 : INFO : SwitchController : <<<<< switch: s_plunger_lane, State:1 >>>>>
2016-09-27 02:13:44,475 : INFO : SwitchController : <<<<< switch: s_plunger_lane, State:0 >>>>>
2016-09-27 02:13:45,072 : INFO : SwitchController : <<<<< switch: s_right_flipper, State:1 >>>>>
2016-09-27 02:13:45,084 : INFO : SwitchController : <<<<< switch: s_left_flipper, State:1 >>>>>
2016-09-27 02:13:45,103 : INFO : SwitchController : <<<<< switch: s_trough2, State:0 >>>>>
2016-09-27 02:13:45,133 : INFO : SwitchController : <<<<< switch: s_trough2, State:1 >>>>>
2016-09-27 02:13:45,233 : INFO : SwitchController : <<<<< switch: s_left_flipper, State:0 >>>>>
2016-09-27 02:13:45,239 : INFO : SwitchController : <<<<< switch: s_right_flipper, State:0 >>>>>
2016-09-27 02:13:47,520 : INFO : SwitchController : <<<<< switch: s_r_top_lane, State:1 >>>>>
2016-09-27 02:13:47,800 : INFO : SwitchController : <<<<< switch: s_r_top_lane, State:0 >>>>>
2016-09-27 02:13:48,024 : INFO : SwitchController : <<<<< switch: s_top_l_pop_bumper, State:1 >>>>>
2016-09-27 02:13:48,039 : INFO : SwitchController : <<<<< switch: s_top_l_pop_bumper, State:0 >>>>>
2016-09-27 02:13:48,080 : INFO : SwitchController : <<<<< switch: s_left_top_rubber, State:1 >>>>>
2016-09-27 02:13:48,094 : INFO : SwitchController : <<<<< switch: s_left_top_rubber, State:0 >>>>>
2016-09-27 02:13:48,940 : INFO : SwitchController : <<<<< switch: s_bottom_l_pop_bumper, State:1 >>>>>
2016-09-27 02:13:48,960 : INFO : SwitchController : <<<<< switch: s_bottom_l_pop_bumper, State:0 >>>>>
2016-09-27 02:13:49,404 : INFO : SwitchController : <<<<< switch: s_top_l_pop_bumper, State:1 >>>>>
