2016-09-27 02:17:12,870 : INFO : Machine : Mission Pinball Framework Core Engine v0.31.3
2016-09-27 02:17:12,873 : INFO : Machine : Machine path: /home/sysop/robotech
2016-09-27 02:17:14,343 : INFO : Machine : Loading config from original files
2016-09-27 02:17:14,730 : INFO : Machine : Machine config file #1: /home/sysop/robotech/config/config
2016-09-27 02:17:15,656 : INFO : Machine : Config file cache created: /tmp/b22896e0955c8faa276a6ac3f6f5f4b5config
2016-09-27 02:17:15,822 : INFO : FAST : Connecting to /dev/ttyUSB1 at 921600bps
2016-09-27 02:17:15,831 : INFO : FAST : Connected! Processor: NET, Board Type: FP-CPU-002-2, Firmware: 01.00
2016-09-27 02:17:15,846 : INFO : FAST : Connecting to /dev/ttyUSB2 at 921600bps
2016-09-27 02:17:15,852 : INFO : FAST : Connected! Processor: RGB, Board Type: FP-CPU-002-2, Firmware: 01.00
2016-09-27 02:17:16,265 : WARNING : SwitchController : Received a status update from hardware switch ('1F', 1), but that switch is not in your config. Just FYI.
2016-09-27 02:17:16,266 : WARNING : SwitchController : Received a status update from hardware switch ('2F', 1), but that switch is not in your config. Just FYI.
2016-09-27 02:17:16,267 : WARNING : SwitchController : Received a status update from hardware switch ('37', 1), but that switch is not in your config. Just FYI.
2016-09-27 02:17:16,268 : WARNING : SwitchController : Received a status update from hardware switch ('0F', 1), but that switch is not in your config. Just FYI.
2016-09-27 02:17:16,268 : WARNING : SwitchController : Received a status update from hardware switch ('17', 1), but that switch is not in your config. Just FYI.
2016-09-27 02:17:16,269 : WARNING : SwitchController : Received a status update from hardware switch ('27', 1), but that switch is not in your config. Just FYI.
2016-09-27 02:17:17,087 : INFO : SwitchController : Active Switch|s_drain_kicker
2016-09-27 02:17:17,088 : INFO : SwitchController : Active Switch|s_trough1
2016-09-27 02:17:17,088 : INFO : SwitchController : Active Switch|s_trough2
2016-09-27 02:17:17,090 : INFO : Mode.attract : Mode Starting. Priority: 10
2016-09-27 02:17:17,460 : INFO : SwitchController : <<<<< switch: s_trough1, State:0 >>>>>
2016-09-27 02:17:17,668 : INFO : SwitchController : <<<<< switch: s_plunger_lane, State:1 >>>>>
2016-09-27 02:17:17,679 : INFO : SwitchController : <<<<< switch: s_plunger_lane, State:0 >>>>>
2016-09-27 02:17:17,696 : INFO : SwitchController : <<<<< switch: s_plunger_lane, State:1 >>>>>
2016-09-27 02:17:17,709 : INFO : SwitchController : <<<<< switch: s_trough2, State:0 >>>>>
2016-09-27 02:17:17,712 : INFO : SwitchController : <<<<< switch: s_plunger_lane, State:0 >>>>>
2016-09-27 02:17:17,732 : INFO : SwitchController : <<<<< switch: s_plunger_lane, State:1 >>>>>
2016-09-27 02:17:17,823 : INFO : SwitchController : <<<<< switch: s_trough1, State:1 >>>>>
2016-09-27 02:17:17,915 : INFO : SwitchController : <<<<< switch: s_trough1, State:0 >>>>>
2016-09-27 02:17:18,090 : INFO : SwitchController : <<<<< switch: s_trough1, State:1 >>>>>
2016-09-27 02:17:18,427 : INFO : SwitchController : <<<<< switch: s_drain_kicker, State:0 >>>>>
2016-09-27 02:17:18,430 : WARNING : BallController : BallController denies game start. Not enough balls
2016-09-27 02:17:18,484 : INFO : SwitchController : <<<<< switch: s_trough1, State:0 >>>>>
2016-09-27 02:17:18,532 : INFO : SwitchController : <<<<< switch: s_trough1, State:1 >>>>>
2016-09-27 02:17:18,550 : INFO : SwitchController : <<<<< switch: s_trough1, State:0 >>>>>
2016-09-27 02:17:18,601 : INFO : SwitchController : <<<<< switch: s_trough1, State:1 >>>>>
2016-09-27 02:17:18,604 : INFO : SwitchController : <<<<< switch: s_trough3, State:1 >>>>>
2016-09-27 02:17:18,651 : INFO : SwitchController : <<<<< switch: s_trough1, State:0 >>>>>
2016-09-27 02:17:18,678 : INFO : SwitchController : <<<<< switch: s_trough3, State:0 >>>>>
2016-09-27 02:17:18,898 : INFO : SwitchController : <<<<< switch: s_trough1, State:1 >>>>>
2016-09-27 02:17:18,966 : INFO : SwitchController : <<<<< switch: s_trough3, State:1 >>>>>
2016-09-27 02:17:19,071 : INFO : SwitchController : <<<<< switch: s_trough3, State:0 >>>>>
2016-09-27 02:17:19,084 : INFO : SwitchController : <<<<< switch: s_trough1, State:0 >>>>>
2016-09-27 02:17:19,113 : INFO : SwitchController : <<<<< switch: s_trough2, State:1 >>>>>
