2016-09-27 02:24:20,698 : INFO : Machine : Mission Pinball Framework Core Engine v0.31.3
2016-09-27 02:24:20,701 : INFO : Machine : Machine path: /home/sysop/robotech
2016-09-27 02:24:22,159 : INFO : Machine : Loading cached config: /tmp/b22896e0955c8faa276a6ac3f6f5f4b5config
2016-09-27 02:24:22,268 : INFO : FAST : Connecting to /dev/ttyUSB1 at 921600bps
2016-09-27 02:24:22,278 : INFO : FAST : Connected! Processor: NET, Board Type: FP-CPU-002-2, Firmware: 01.00
2016-09-27 02:24:22,295 : INFO : FAST : Connecting to /dev/ttyUSB2 at 921600bps
2016-09-27 02:24:22,303 : INFO : FAST : Connected! Processor: RGB, Board Type: FP-CPU-002-2, Firmware: 01.00
2016-09-27 02:24:22,633 : WARNING : SwitchController : Received a status update from hardware switch ('1F', 1), but that switch is not in your config. Just FYI.
2016-09-27 02:24:22,636 : WARNING : SwitchController : Received a status update from hardware switch ('27', 1), but that switch is not in your config. Just FYI.
2016-09-27 02:24:22,638 : WARNING : SwitchController : Received a status update from hardware switch ('37', 1), but that switch is not in your config. Just FYI.
2016-09-27 02:24:22,641 : WARNING : SwitchController : Received a status update from hardware switch ('2F', 1), but that switch is not in your config. Just FYI.
2016-09-27 02:24:22,643 : WARNING : SwitchController : Received a status update from hardware switch ('0F', 1), but that switch is not in your config. Just FYI.
2016-09-27 02:24:22,646 : WARNING : SwitchController : Received a status update from hardware switch ('17', 1), but that switch is not in your config. Just FYI.
2016-09-27 02:24:23,344 : INFO : SwitchController : Active Switch|s_trough1
2016-09-27 02:24:23,346 : INFO : SwitchController : Active Switch|s_trough3
2016-09-27 02:24:23,349 : INFO : SwitchController : Active Switch|s_trough2
2016-09-27 02:24:23,352 : INFO : Mode.attract : Mode Starting. Priority: 10
2016-09-27 02:24:28,126 : INFO : SwitchController : <<<<< switch: s_start, State:1 >>>>>
2016-09-27 02:24:28,255 : INFO : SwitchController : <<<<< switch: s_start, State:0 >>>>>
2016-09-27 02:24:28,263 : INFO : Mode.game : Mode Starting. Priority: 20
2016-09-27 02:24:28,282 : INFO : Mode.game : Player added successfully. Total players: 1
2016-09-27 02:24:28,295 : INFO : Mode.ball_save : Mode Starting. Priority: 8500
2016-09-27 02:24:28,304 : INFO : Mode.kickback : Mode Starting. Priority: 200
2016-09-27 02:24:28,311 : INFO : Mode.base : Mode Starting. Priority: 100
2016-09-27 02:24:28,475 : INFO : SwitchController : <<<<< switch: s_trough2, State:0 >>>>>
2016-09-27 02:24:28,483 : INFO : SwitchController : <<<<< switch: s_trough1, State:0 >>>>>
2016-09-27 02:24:28,497 : INFO : SwitchController : <<<<< switch: s_trough2, State:1 >>>>>
2016-09-27 02:24:28,687 : INFO : SwitchController : <<<<< switch: s_plunger_lane, State:1 >>>>>
2016-09-27 02:24:28,710 : INFO : SwitchController : <<<<< switch: s_trough2, State:0 >>>>>
2016-09-27 02:24:28,749 : INFO : SwitchController : <<<<< switch: s_trough3, State:0 >>>>>
2016-09-27 02:24:28,804 : INFO : SwitchController : <<<<< switch: s_trough2, State:1 >>>>>
2016-09-27 02:24:28,828 : INFO : SwitchController : <<<<< switch: s_trough1, State:1 >>>>>
2016-09-27 02:24:29,288 : INFO : SwitchController : <<<<< switch: s_plunger_lane, State:0 >>>>>
2016-09-27 02:24:29,318 : INFO : SwitchController : <<<<< switch: s_plunger_lane, State:1 >>>>>
2016-09-27 02:24:29,339 : INFO : SwitchController : <<<<< switch: s_plunger_lane, State:0 >>>>>
